"108年03月 2412 中華電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","9,591,844","1,021,357,757","106.50","107.50","106.50","107.00"," 0.00","4,342",
"108/03/05","7,242,651","776,074,940","107.00","107.50","106.50","107.00"," 0.00","3,677",
"108/03/06","6,699,834","719,243,608","107.00","107.50","107.00","107.50","+0.50","3,827",
"108/03/07","5,129,977","550,555,496","107.00","107.50","107.00","107.00","-0.50","3,580",
"108/03/08","6,251,360","670,646,668","107.00","107.50","107.00","107.50","+0.50","3,432",
"108/03/11","5,730,356","614,838,227","107.50","107.50","107.00","107.00","-0.50","3,000",
"108/03/12","4,257,075","458,970,014","107.50","108.00","107.50","108.00","+1.00","2,537",
"108/03/13","5,047,766","544,745,728","108.00","108.00","107.50","108.00"," 0.00","2,572",
"108/03/14","4,913,545","529,630,860","108.00","108.00","107.50","107.50","-0.50","1,800",
"108/03/15","16,943,571","1,827,720,668","108.00","108.50","107.50","108.00","+0.50","5,373",
"108/03/18","5,290,682","570,412,156","108.00","108.00","107.50","108.00"," 0.00","3,322",
"108/03/19","7,158,092","771,467,436","107.50","108.00","107.50","108.00"," 0.00","3,831",
"108/03/20","6,858,833","739,951,464","108.00","108.50","107.50","108.00"," 0.00","3,871",
"108/03/21","6,886,811","744,243,588","108.00","108.50","108.00","108.00"," 0.00","3,607",
"108/03/22","5,782,954","624,576,476","108.00","108.50","107.50","108.50","+0.50","3,072",
"108/03/25","5,201,894","561,752,552","108.00","108.50","107.50","107.50","-1.00","3,173",
"108/03/26","2,743,405","296,873,740","108.00","108.50","108.00","108.50","+1.00","1,896",
"108/03/27","6,364,055","690,810,922","108.50","109.00","108.00","108.50"," 0.00","2,672",
"108/03/28","4,995,425","544,118,585","108.50","109.00","108.50","109.00","+0.50","2,302",
"108/03/29","5,386,867","588,919,503","109.00","109.50","108.50","109.50","+0.50","2,056",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

