"108年03月 2498 宏達電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","11,374,712","425,649,185","36.95","37.95","36.80","37.90","+1.10","5,547",
"108/03/05","10,948,910","413,750,031","38.00","38.45","37.35","37.50","-0.40","5,466",
"108/03/06","4,960,358","185,401,572","37.50","37.65","37.20","37.25","-0.25","2,649",
"108/03/07","20,417,337","732,684,160","36.70","36.85","35.35","35.60","-1.65","10,474",
"108/03/08","9,022,688","319,953,868","35.50","36.00","34.90","36.00","+0.40","4,764",
"108/03/11","11,229,767","409,703,568","35.95","37.00","35.80","36.25","+0.25","4,897",
"108/03/12","6,671,549","242,124,738","36.35","36.65","36.00","36.00","-0.25","3,236",
"108/03/13","4,675,183","169,931,411","36.75","36.75","36.05","36.20","+0.20","2,424",
"108/03/14","13,656,442","503,697,980","36.60","37.20","36.50","36.80","+0.60","6,382",
"108/03/15","22,161,317","832,971,823","37.40","38.25","37.00","37.45","+0.65","8,774",
"108/03/18","48,134,697","1,909,696,813","38.20","41.15","37.90","41.15","+3.70","19,871",
"108/03/19","53,653,028","2,212,460,413","41.75","42.55","39.55","39.55","-1.60","24,584",
"108/03/20","24,005,450","968,365,699","40.25","40.95","39.75","40.35","+0.80","10,924",
"108/03/21","15,608,101","629,060,141","40.50","40.80","40.05","40.10","-0.25","6,922",
"108/03/22","33,105,522","1,363,254,510","40.50","42.45","40.40","40.60","+0.50","15,581",
"108/03/25","15,833,915","621,983,358","39.70","39.85","38.80","38.85","-1.75","7,613",
"108/03/26","10,464,455","412,202,480","39.40","39.70","39.15","39.20","+0.35","5,002",
"108/03/27","17,133,343","686,181,764","39.75","40.70","39.60","39.85","+0.65","7,992",
"108/03/28","10,525,362","417,192,009","39.85","40.30","39.20","39.55","-0.30","5,060",
"108/03/29","16,254,295","650,556,908","40.15","40.40","39.75","39.95","+0.40","7,346",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

