"108年04月 8046 南電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/04/01","17,432,103","801,660,035","46.00","46.95","45.00","45.00","-1.60","7,843",
"108/04/02","16,649,262","793,854,746","45.40","49.50","45.40","48.30","+3.30","8,840",
"108/04/03","12,693,609","617,641,441","48.40","49.70","47.20","49.20","+0.90","6,722",
"108/04/08","12,192,604","612,693,924","49.85","51.10","49.25","51.10","+1.90","5,669",
"108/04/09","12,118,458","585,253,732","50.40","50.60","46.55","46.55","-4.55","6,068",
"108/04/10","8,068,712","384,521,327","47.15","48.60","46.65","47.95","+1.40","3,960",
"108/04/11","7,329,552","347,137,219","47.95","48.25","46.75","46.90","-1.05","3,921",
"108/04/12","8,269,050","382,953,762","47.00","47.45","45.70","46.35","-0.55","4,204",
"108/04/15","3,158,873","149,391,567","46.95","47.95","46.80","47.05","+0.70","1,582",
"108/04/16","9,060,404","438,217,667","47.75","49.60","47.35","48.00","+0.95","4,841",
"108/04/17","10,377,427","500,168,376","48.00","49.20","47.35","48.55","+0.55","4,845",
"108/04/18","9,803,331","479,271,278","48.80","49.80","47.50","48.15","-0.40","4,630",
"108/04/19","19,320,081","984,943,189","49.20","52.30","48.65","52.00","+3.85","10,735",
"108/04/22","17,370,097","930,278,990","52.20","55.20","52.20","53.80","+1.80","9,163",
"108/04/23","11,338,014","590,887,800","53.20","54.00","50.60","50.60","-3.20","6,337",
"108/04/24","9,040,944","455,440,145","51.70","51.90","49.75","51.00","+0.40","4,881",
"108/04/25","4,967,900","252,483,567","50.90","51.70","50.00","51.60","+0.60","2,690",
"108/04/26","9,417,793","464,707,104","51.20","51.20","48.25","48.70","-2.90","5,040",
"108/04/29","15,338,347","698,101,002","47.95","47.95","44.20","45.40","-3.30","7,412",
"108/04/30","5,197,600","240,500,959","45.90","46.85","45.60","46.50","+1.10","3,122",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

