"110年10月 6116 彩晶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","25,908,521","387,809,541","15.10","15.35","14.65","14.70","-0.50","8,244",
"110/10/04","39,816,153","565,869,963","14.75","14.90","13.90","14.00","-0.70","10,999",
"110/10/05","35,745,257","516,076,095","13.85","14.85","13.80","14.70","+0.70","10,018",
"110/10/06","22,479,806","328,863,908","14.75","14.95","14.40","14.50","-0.20","6,056",
"110/10/07","12,435,812","183,645,367","14.60","14.90","14.60","14.75","+0.25","3,413",
"110/10/08","22,262,322","333,752,666","14.85","15.25","14.70","14.70","-0.05","5,801",
"110/10/12","29,235,209","411,825,013","14.40","14.45","13.90","13.90","-0.80","8,685",
"110/10/13","19,436,730","268,339,253","14.10","14.15","13.60","13.65","-0.25","5,963",
"110/10/14","33,817,793","461,285,669","13.85","13.90","13.35","13.65"," 0.00","7,841",
"110/10/15","24,770,141","342,060,875","13.90","14.05","13.65","13.65"," 0.00","5,532",
"110/10/18","30,185,611","405,087,867","13.70","13.80","13.25","13.40","-0.25","8,223",
"110/10/19","33,896,438","468,063,686","13.50","14.00","13.45","13.85","+0.45","8,925",
"110/10/20","23,786,214","326,134,795","13.90","14.05","13.50","13.65","-0.20","6,752",
"110/10/21","19,490,163","267,711,577","13.65","13.90","13.40","13.80","+0.15","5,505",
"110/10/22","24,284,035","326,438,880","13.75","13.75","13.30","13.40","-0.40","6,496",
"110/10/25","14,850,481","201,981,952","13.40","13.80","13.35","13.65","+0.25","4,075",
"110/10/26","10,806,853","147,211,546","13.70","13.80","13.55","13.55","-0.10","3,073",
"110/10/27","11,065,771","152,060,301","13.60","13.90","13.60","13.70","+0.15","3,396",
"110/10/28","135,374,248","1,941,854,422","14.00","14.95","13.95","14.00","+0.30","28,570",
"110/10/29","38,093,436","539,399,312","14.30","14.30","14.00","14.10","+0.10","9,115",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

