"108年12月 3711 日月光投控       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/12/02","3,769,959","285,318,097","75.20","76.00","75.20","75.80","+0.20","2,040",
"108/12/03","8,001,692","603,367,505","75.20","75.70","75.00","75.50","-0.30","2,165",
"108/12/04","8,241,052","617,530,534","75.70","76.20","74.50","75.00","-0.50","3,153",
"108/12/05","8,450,011","646,097,058","75.70","76.80","75.40","76.80","+1.80","2,878",
"108/12/06","33,983,265","2,754,392,162","80.10","82.50","79.10","79.70","+2.90","13,990",
"108/12/09","11,214,481","897,425,900","80.50","80.70","79.20","80.00","+0.30","3,777",
"108/12/10","7,344,075","587,770,904","80.00","80.40","79.80","80.10","+0.10","2,717",
"108/12/11","8,024,490","643,069,070","80.10","80.40","79.90","80.40","+0.30","2,994",
"108/12/12","29,176,838","2,431,144,938","81.30","84.60","81.20","84.60","+4.20","12,595",
"108/12/13","28,552,490","2,444,116,636","87.00","87.60","84.20","85.20","+0.60","13,616",
"108/12/16","8,159,149","692,576,939","85.00","86.00","84.10","84.10","-1.10","4,580",
"108/12/17","9,093,605","769,424,037","84.40","85.30","84.10","85.00","+0.90","5,211",
"108/12/18","8,582,853","730,302,055","84.90","85.70","84.50","85.40","+0.40","3,354",
"108/12/19","9,086,227","767,613,168","85.50","85.50","83.80","84.30","-1.10","3,758",
"108/12/20","10,959,585","925,425,810","85.00","85.00","83.80","84.60","+0.30","3,651",
"108/12/23","6,321,418","538,098,630","84.70","85.40","84.70","85.40","+0.80","2,964",
"108/12/24","3,630,772","308,827,530","85.40","85.50","84.50","84.80","-0.60","1,898",
"108/12/25","2,748,064","231,078,132","84.60","84.80","83.80","83.90","-0.90","1,436",
"108/12/26","4,269,419","356,148,694","84.00","84.70","83.00","83.50","-0.40","2,161",
"108/12/27","7,806,037","662,820,491","84.50","85.30","84.10","85.20","+1.70","3,528",
"108/12/30","3,678,409","310,921,556","84.90","84.90","84.20","84.40","-0.80","1,483",
"108/12/31","4,653,610","388,625,321","84.00","84.30","83.20","83.20","-1.20","2,664",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

